time,jumps,tau,vC,iL,q,p
0.0,0,0.0,0.0,3.012913018498755,1.0,1.0
3.429500000008484E-5,0,3.429500000008485E-5,1.5699705767599343,3.087056937036283,1.0,1.0
3.43066666669502E-5,0,3.430666666695021E-5,1.5705113525088652,3.0870820603835005,1.0,1.0
3.43066666669502E-5,1,3.430666666695021E-5,1.5705113525088652,3.0870820603835005,-1.0,1.0
1.0187500000068073E-4,1,1.0187500000068073E-4,4.6264146223013185,2.9343110676784714,-1.0,1.0
1.0187500000068073E-4,2,1.0187500000068073E-4,4.6264146223013185,2.9343110676784714,1.0,1.0
1.715233333344112E-4,2,1.715233333344112E-4,7.770794183109975,3.081152300176182,1.0,1.0
1.715233333344112E-4,3,1.715233333344112E-4,7.770794183109975,3.081152300176182,-1.0,1.0
2.391716666681417E-4,3,2.391716666681417E-4,10.822108318650963,2.9240127540860605,-1.0,1.0
2.391716666681417E-4,4,2.391716666681417E-4,10.822108318650963,2.9240127540860605,1.0,1.0
3.0919641914347484E-4,4,3.0919641914347484E-4,13.970828427786149,3.0673157875589765,1.0,1.0
3.09207970298787E-4,4,3.09207970298787E-4,13.971360425399565,3.0673392319981625,1.0,1.0
3.09207970298787E-4,5,3.09207970298787E-4,13.971360425399565,3.0673392319981625,-1.0,1.0
3.771238118830311E-4,5,3.771238118830311E-4,17.018233990014163,2.905379251169652,-1.0,1.0
3.771353630383433E-4,5,3.771353630383433E-4,17.018737901229947,2.905351537220456,-1.0,1.0
3.771353630383433E-4,6,3.771353630383433E-4,17.018737901229947,2.905351537220456,1.0,1.0
4.4774757425986066E-4,6,4.4774757425986066E-4,20.172453048652006,3.045493427995453,1.0,1.0
4.4774757425986066E-4,7,4.4774757425986066E-4,20.172453048652006,3.045493427995453,-1.0,1.0
5.161320627091004E-4,7,5.161320627091004E-4,23.215211402331164,2.8781928747009347,-1.0,1.0
5.161320627091004E-4,8,5.161320627091004E-4,23.215211402331164,2.8781928747009347,1.0,1.0
5.875264521484392E-4,8,5.875264521484392E-4,26.373256866149188,3.0154817745655045,1.0,1.0
5.875264521484392E-4,9,5.875264521484392E-4,26.373256866149188,3.0154817745655045,-1.0,1.0
6.565941089145108E-4,9,6.565941089145108E-4,29.412253831483152,2.8422505698402034,-1.0,1.0
6.565941089145108E-4,10,6.565941089145108E-4,29.412253831483152,2.8422505698402034,1.0,1.0
7.289983993439486E-4,10,7.289983993439486E-4,32.574566690866284,2.9770196517135163,1.0,1.0
7.289983993439486E-4,11,7.289983993439486E-4,32.574566690866284,2.9770196517135163,-1.0,1.0
7.989769471991289E-4,11,7.989769471991289E-4,35.60980227327452,2.7971939431537893,-1.0,1.0
7.989769471991289E-4,12,7.989769471991289E-4,35.60980227327452,2.7971939431537893,1.0,1.0
8.726452640308979E-4,12,8.726452640308979E-4,38.776318808454604,2.9297823371286027,1.0,1.0
8.726568151862102E-4,12,8.726568151862102E-4,38.77682695216042,2.929802932133772,1.0,1.0
8.726568151862102E-4,13,8.726568151862102E-4,38.77682695216042,2.929802932133772,-1.0,1.0
9.438036798730739E-4,13,9.438036798730739E-4,41.80839340753984,2.742598790411391,-1.0,1.0
9.438036798730739E-4,14,9.438036798730739E-4,41.80839340753984,2.742598790411391,1.0,1.0
0.0010190185808632549,14,0.0010190185808632549,44.97873496085065,2.8733484751673872,1.0,1.0
0.0010190302475301203,14,0.0010190302475301203,44.979238300181706,2.8733685590913285,1.0,1.0
0.0010190302475301203,15,0.0010190302475301203,44.979238300181706,2.8733685590913285,-1.0,1.0
0.0010916485808638446,15,0.0010916485808638446,48.00746588987499,2.677832560161863,-1.0,1.0
0.0010916485808638446,16,0.0010916485808638446,48.00746588987499,2.677832560161863,1.0,1.0
0.001168763580863923,16,0.001168763580863923,51.182122887846134,2.8071533998231857,1.0,1.0
0.0011687752475307883,16,0.0011687752475307883,51.18261463144307,2.807172767741282,1.0,1.0
0.0011687752475307883,17,0.0011687752475307883,51.18261463144307,2.807172767741282,-1.0,1.0
0.0012432135808645127,17,0.0012432135808645127,54.2075024261464,2.6021710356698464,-1.0,1.0
0.0012432135808645127,18,0.0012432135808645127,54.2075024261464,2.6021710356698464,1.0,1.0
0.0013226319141982365,18,0.0013226319141982365,57.38621067921472,2.7304891031998677,1.0,1.0
0.0013226319141982365,19,0.0013226319141982365,57.38621067921472,2.7304891031998677,-1.0,1.0
0.0013993102475319606,19,0.0013993102475319606,60.40762655831506,2.5146241505321565,-1.0,1.0
0.0013993102475319606,20,0.0013993102475319606,60.40762655831506,2.5146241505321565,1.0,1.0
0.0014815285808656843,20,0.0014815285808656843,63.590067139182345,2.642438963835574,1.0,1.0
0.0014815285808656843,21,0.0014815285808656843,63.590067139182345,2.642438963835574,-1.0,1.0
0.001560986914199408,21,0.001560986914199408,66.60845716611935,2.4138922205101907,-1.0,1.0
0.001560986914199408,22,0.001560986914199408,66.60845716611935,2.4138922205101907,1.0,1.0
0.0016466352475331312,22,0.0016466352475331312,69.79424526612381,2.54181284613709,1.0,1.0
0.0016466352475331312,23,0.0016466352475331312,69.79424526612381,2.54181284613709,-1.0,1.0
0.0017295635808668545,23,0.0017295635808668545,72.80984529069879,2.298228258842268,-1.0,1.0
0.0017295635808668545,24,0.0017295635808668545,72.80984529069879,2.298228258842268,1.0,1.0
0.0018194685808669317,24,0.0018194685808669317,75.99848464285274,2.427033230428575,1.0,1.0
0.001819480247533797,24,0.001819480247533797,75.99890979883128,2.427049747451771,1.0,1.0
0.001819480247533797,25,0.001819480247533797,75.99890979883128,2.427049747451771,-1.0,1.0
0.0019068085808675202,25,0.0019068085808675202,79.01212576914254,2.1652280115311013,-1.0,1.0
0.0019068085808675202,26,0.0019068085808675202,79.01212576914254,2.1652280115311013,1.0,1.0
0.002002133663376166,26,0.002002133663376166,82.20411967432783,2.296010081418014,1.0,1.0
0.002002133663376166,27,0.002002133663376166,82.20411967432783,2.296010081418014,-1.0,1.0
0.0020951518151917526,27,0.0020951518151917526,85.21485334827624,2.011485854890494,-1.0,1.0
0.0020951518151917526,28,0.0020951518151917526,85.21485334827624,2.011485854890494,1.0,1.0
0.0021975363036410038,28,0.0021975363036410038,88.40964946377446,2.1457569910930867,1.0,1.0
0.0021975363036410038,29,0.0021975363036410038,88.40964946377446,2.1457569910930867,-1.0,1.0
0.0022981947194826856,29,0.0022981947194826856,91.41839513284295,1.831775460842563,-1.0,1.0
0.0022982062706379987,29,0.0022982062706379987,91.4187128373902,1.8317392768288392,-1.0,1.0
0.0022982062706379987,30,0.0022982062706379987,91.4187128373902,1.8317392768288392,1.0,1.0
0.0024101815181628503,30,0.0024101815181628503,94.6155686417876,1.9718392242885159,1.0,1.0
0.002410193069318163,30,0.002410193069318163,94.61591063910188,1.9718534798687086,1.0,1.0
0.002410193069318163,31,0.002410193069318163,94.61591063910188,1.9718534798687086,-1.0,1.0
0.002521686468658504,31,0.002521686468658504,97.6235729736171,1.6173592328381488,-1.0,1.0
0.002521686468658504,32,0.002521686468658504,97.6235729736171,1.6173592328381488,1.0,1.0
0.002647595709583005,32,0.002647595709583005,100.82243171159041,1.7673456582921065,1.0,1.0
0.002647595709583005,33,0.002647595709583005,100.82243171159041,1.7673456582921065,-1.0,1.0
0.002775818481860334,33,0.002775818481860334,103.82918293504534,1.351979272626135,-1.0,1.0
0.0027758300330156466,33,0.0027758300330156466,103.82941742337204,1.351941710445041,-1.0,1.0
0.0027758300330156466,34,0.0027758300330156466,103.82941742337204,1.351941710445041,1.0,1.0
0.0029242739274054977,34,0.0029242739274054977,107.0295085135113,1.5199474503669341,1.0,1.0
0.0029242739274054977,35,0.0029242739274054977,107.0295085135113,1.5199474503669341,-1.0,1.0
0.003083282178230994,35,0.003083282178230994,110.03736843550467,0.9953996622814406,-1.0,1.0
0.003083282178230994,36,0.003083282178230994,110.03736843550467,0.9953996622814406,1.0,1.0
0.0032771221122248114,36,0.0032771221122248114,113.23710380861885,1.2034344891163162,1.0,1.0
0.0032771221122248114,37,0.0032771221122248114,113.23710380861885,1.2034344891163162,-1.0,1.0
0.003539229372951311,37,0.003539229372951311,116.25053068567365,0.32329971523626505,-1.0,1.0
0.003539229372951311,38,0.003539229372951311,116.25053068567365,0.32329971523626505,1.0,1.0
0.003941669967010854,38,0.003941669967010854,119.44621186205758,0.7331195846775823,1.0,1.0
0.003941681518166165,38,0.003941681518166165,119.44633901488316,0.7331311151180393,1.0,1.0
0.003941681518166165,39,0.003941681518166165,119.44633901488316,0.7331311151180393,0.0,1.0
0.005172382838298736,39,0.005172382838298736,119.14582975568412,-0.7633174036874825,0.0,1.0
0.005172382838298736,40,0.005172382838298736,119.14582975568412,-0.7633174036874825,1.0,1.0
0.005541262376252975,40,0.005541262376252975,115.96423104582077,-0.38266927530536615,1.0,1.0
0.005541262376252975,41,0.005541262376252975,115.96423104582077,-0.38266927530536615,-1.0,1.0
